NAME,Changdeokgung_Palace,Gyeongbokgung_Palace,Gwangmyeong_Cave,Namhansanseong_Fortress,Songdo_Central_Park,Hwaseong_Fortress,Ikseon_dong_Hanok_Street,Daegwallyeong_Yangtte_Farm,Vivaldi_Park,Namiseom_Island,Gamcheon_Village,Jagalchi_Market,Bulguksa_Temple,Oedo_Isaland,Taejongdae_Park,Haeundae,Yeosu,Jeonju_Hanok_Village,Boseong_Green_Tea_Village,Daecheon_Beach,Nakhwaam_Rock,Anmyeondo_Island,Seongsan_Ilchulbong_Tuff_Cone,Udo_Isaland,Hallasan_Dulegil
9,4,4,0,0,3,0,0,4,3,3,0,1,3,0,2,3,0,0,3,0,0,0,3,0,3
14,2,0,4,0,2,1,3,3,0,1,1,1,1,4,0,1,3,3,0,1,0,3,3,0,0
25,0,4,0,0,0,0,0,5,3,4,0,4,3,5,4,0,0,4,0,0,0,0,4,0,0
29,4,2,4,0,0,0,1,4,3,0,0,2,4,0,0,4,4,2,3,0,0,0,5,0,4
35,0,4,0,4,5,5,0,5,5,5,0,0,3,0,0,5,0,5,0,4,0,0,5,0,0
38,0,4,0,0,0,0,4,5,5,3,3,3,4,0,4,4,0,3,4,3,0,5,5,0,0
47,0,3,0,0,0,4,0,3,0,0,2,0,3,0,0,3,0,3,0,3,2,0,3,0,0
48,2,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
53,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,0,2,0,0,0,0,4,5,0,5
64,0,4,0,0,3,0,3,3,0,3,3,3,3,0,3,4,3,3,3,0,3,0,3,3,0
76,2,5,2,4,0,4,5,0,5,5,0,0,5,0,0,0,5,2,0,3,0,4,5,5,5
81,4,3,0,3,3,3,3,4,3,4,3,3,3,0,3,4,4,3,4,3,3,4,4,0,3
88,4,3,5,4,4,4,4,5,4,4,0,4,5,5,4,3,5,4,0,4,0,4,5,0,4
109,4,5,5,3,0,0,5,0,4,4,4,3,3,0,4,4,5,4,4,4,0,4,5,0,3
113,0,4,0,0,0,0,2,0,0,0,2,0,4,0,5,2,0,0,0,0,0,1,4,5,4
